audio_id,filename,class_label,source,original_filename,sha256,split,augmented,relative_path
SS00000,SS00000_f40a849a.wav,animal_sound,esc50,1-100032-A-0.wav,f40a849a2375c8c63312a73dd2dd6c74007301fcc21b4be2ece29a642831e3d8,train,original,categorized_audio\animal_sound\SS00000_f40a849a.wav
SS00001,SS00001_2faa39d8.wav,animal_sound,esc50,1-100038-A-14.wav,2faa39d8e59e8f292dfbdbe72bd8a00294f9535714b3c19b39904c2c17e14675,train,original,categorized_audio\animal_sound\SS00001_2faa39d8.wav
SS00003,SS00003_acfdccbb.wav,machinery_fault,esc50,1-100210-B-36.wav,acfdccbb58647655b9b63ab5574c178783b969f56e05933f115ae4dd1878a524,train,original,categorized_audio\machinery_fault\SS00003_acfdccbb.wav
SS00004,SS00004_b0323e17.wav,background_noise,esc50,1-101296-A-19.wav,b0323e17979ff3d840ce3f9b7f13bf800a69a48f62632162b964efc9bfe4ef10,train,original,categorized_audio\background_noise\SS00004_b0323e17.wav
SS00005,SS00005_bdad401d.wav,background_noise,esc50,1-101296-B-19.wav,bdad401df959569dc44ad26fff3ff097de5ac98cde763eb37a557a4ab441440f,train,original,categorized_audio\background_noise\SS00005_bdad401d.wav
SS00006,SS00006_e75bd5e2.wav,animal_sound,esc50,1-103298-A-9.wav,e75bd5e27e7d68b15bf17bc348d8cf4ab338e9089dc1a1564f2c434ce22db27c,train,original,categorized_audio\animal_sound\SS00006_e75bd5e2.wav
SS00008,SS00008_87c3f36e.wav,background_noise,esc50,1-115521-A-19.wav,87c3f36e376c3c26faac723d3d1a8ba0af76c8b3e1b456cfe4062975e67b88d2,train,original,categorized_audio\background_noise\SS00008_87c3f36e.wav
SS00009,SS00009_1199ff6d.wav,machinery_fault,esc50,1-116765-A-41.wav,1199ff6d4f5040bf20f06a441276bcd6448b1e1de4f098ce3e47d856ee97ce33,train,original,categorized_audio\machinery_fault\SS00009_1199ff6d.wav
SS00010,SS00010_556d465e.wav,background_noise,esc50,1-118559-A-17.wav,556d465ef6d44075c1c6f881202f001e088c20415e600be9a83714aa5d86ea07,train,original,categorized_audio\background_noise\SS00010_556d465e.wav
SS00011,SS00011_03ed7b10.wav,animal_sound,esc50,1-121951-A-8.wav,03ed7b103e873f07713de2d9a17fd298eb19c204eaf54a9bfa955423c95a1a14,train,original,categorized_audio\animal_sound\SS00011_03ed7b10.wav
SS00012,SS00012_9e8ec2f9.wav,background_noise,esc50,1-12653-A-15.wav,9e8ec2f92df6dc2f9673f4c701ac327dc5455e6cfa8e108e0f5443aeaa535a65,train,original,categorized_audio\background_noise\SS00012_9e8ec2f9.wav
SS00015,SS00015_92baf64d.wav,alarm_siren,esc50,1-13571-A-46.wav,92baf64d0e246d513e7a94e3778459558dcc222ec7cd30b12c58092a3d903142,train,original,categorized_audio\alarm_siren\SS00015_92baf64d.wav
